title,description,priority
Server down production urgent,Server utama mati total semua user tidak bisa akses aplikasi,urgent
System crash critical emergency,Aplikasi crash dan muncul blue screen di semua komputer kantor,urgent
Database corruption data loss,Data hilang setelah restart server produksi tidak ada backup,urgent
Network outage company wide,Jaringan mati satu kantor tidak bisa internet sama sekali,urgent
Security breach hacker attack,Ada hacker yang masuk sistem dan mencuri data penting,urgent
Production stopped completely,Sistem produksi berhenti total tidak bisa proses transaksi,urgent
Critical system failure now,Server kritis gagal berfungsi perlu penanganan segera saat ini,urgent
All users cannot access system,Semua user tidak bisa akses aplikasi utama sejak pagi,urgent
Emergency server crash urgent,Server crash mendadak perlu recovery segera tidak bisa ditunda,urgent
Data center down all services,Pusat data mati semua layanan berhenti total,urgent
Komputer mati total tidak nyala,Sudah coba tekan power tetap tidak hidup sama sekali butuh segera,urgent
Laptop nyala layar hitam blank,Laptop hidup tapi tidak ada tampilan apapun di layar,urgent
Server lemot parah banget,Loading aplikasi sangat lama sekali dari tadi pagi tidak bisa kerja,urgent
Wifi kantor mati total semua,Semua wifi lantai 2 mati tidak ada koneksi internet,urgent
Akun email kena hack spam,Email saya kirim spam ke semua kontak tanpa izin butuh segera,urgent
Website down tidak bisa diakses,Website perusahaan down semua pelanggan tidak bisa akses,urgent
VPN mati semua remote user,Semua koneksi VPN mati karyawan remote tidak bisa kerja,urgent
Listrik mati server down,Listrik mati semua server ikut mati tidak ada UPS,urgent
Firewall block semua akses,Firewall memblokir semua koneksi masuk dan keluar,urgent
Ransomware attack urgent,Ada serangan ransomware semua file terenkripsi butuh bantuan,urgent
Dirut minta diperbaiki sekarang,Direktur utama minta masalah IT segera diperbaiki,urgent
Owner komplain sistem,Owner perusahaan komplain sistem tidak berjalan,urgent
CEO tidak bisa akses,CEO tidak bisa akses laporan penting,urgent
Meeting direksi terganggu IT,Meeting direksi terganggu karena masalah teknis,urgent
Manager marah sistem down,Manager marah besar sistem down saat audit,urgent
Virus ransomware menyebar,Ransomware menyebar ke semua komputer kantor,urgent
Data center kebakaran,Ada kebakaran di data center butuh evakuasi,urgent
Server room banjir,Server room kebanjiran air dari AC bocor,urgent
Kabel fiber optik putus,Kabel fiber optik putus koneksi internet mati total,urgent
UPS meledak server mati,UPS meledak semua server langsung mati,urgent
AC server room mati total,AC server room mati suhu server naik drastis,urgent
Power supply server terbakar,Power supply server terbakar bau sangit,urgent
Harddisk server failure,Harddisk server rusak data tidak bisa diakses,urgent
RAM server error total,RAM server error semua aplikasi crash,urgent
CPU server overheat parah,CPU server overheat suhu 100 derajat,urgent
Backup gagal total,Backup gagal total data tidak terselamatkan,urgent
Replikasi database gagal,Replikasi database gagal data tidak sinkron,urgent
SSL certificate expired,SSL expired website tidak bisa diakses,urgent
Domain expired tidak bisa akses,Domain perusahaan expired semua layanan mati,urgent
Email server down total,Email server down semua komunikasi terhenti,urgent
Aplikasi payroll error,Aplikasi payroll error gaji tidak bisa diproses,urgent
Sistem pajak error,Sistem pelaporan pajak error deadline besok,urgent
Server customer facing down,Server pelanggan down reputasi buruk,urgent
Payment gateway error,Payment gateway error transaksi gagal semua,urgent
Third party API down,API pihak ketiga down integrasi mati,urgent
Sistem absensi rusak,Sistem absensi rusak karyawan tidak bisa clock in,urgent
Sistem keamanan gedung mati,Sistem security gedung mati tidak bisa akses,urgent
CCTV server down,Server CCTV down tidak bisa monitoring,urgent
